epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,756.591,0.45628,0.58054,0.118,0.33101,0.99902,0.99774,1,0.995,0.87638,0.99774,1,0.995,0.88653,0.50886,0.63885,0.12505,0.34467,0.99546,0.0009308,0.0009308,0.0009308
29,781.798,0.45015,0.51221,0.11445,0.32983,0.9859,0.9979,0.984,0.99484,0.8673,0.98979,0.976,0.99173,0.83313,0.53354,0.72586,0.12818,0.35216,1.00728,0.0008912,0.0008912,0.0008912
30,806.973,0.44262,0.52062,0.11361,0.31572,0.97286,0.99086,0.992,0.995,0.87645,0.99086,0.992,0.995,0.85612,0.51972,0.61246,0.12334,0.32577,1.00307,0.0008516,0.0008516,0.0008516
31,832.16,0.42473,0.47732,0.1134,0.31225,0.97242,0.9842,0.99678,0.99492,0.88335,0.9842,0.99678,0.99492,0.89542,0.48262,0.63953,0.12001,0.34017,0.99695,0.000812,0.000812,0.000812
32,857.663,0.42241,0.46249,0.11327,0.30803,0.96309,1,0.99104,0.995,0.88906,1,0.99104,0.995,0.89525,0.48387,0.56179,0.11975,0.33033,0.94465,0.0007724,0.0007724,0.0007724
33,882.947,0.4183,0.49703,0.11213,0.31492,0.94645,0.99498,0.992,0.995,0.89298,0.99498,0.992,0.995,0.88492,0.47017,0.52878,0.11622,0.33539,0.94153,0.0007328,0.0007328,0.0007328
34,908.189,0.39922,0.41726,0.10896,0.29729,0.96053,0.99201,0.99366,0.995,0.90331,0.99201,0.99366,0.995,0.9089,0.44707,0.50972,0.11742,0.30686,0.94236,0.0006932,0.0006932,0.0006932
35,933.396,0.38418,0.3953,0.10849,0.29481,0.94737,0.99892,1,0.995,0.90309,0.99892,1,0.995,0.90618,0.45182,0.49555,0.11481,0.30618,0.96484,0.0006536,0.0006536,0.0006536
36,958.548,0.38299,0.39116,0.10812,0.28551,0.94793,0.99913,1,0.995,0.89706,0.99913,1,0.995,0.92794,0.45613,0.47755,0.11318,0.30229,0.95091,0.000614,0.000614,0.000614
37,983.734,0.36432,0.34208,0.1056,0.27638,0.9423,0.99726,1,0.995,0.91506,0.99726,1,0.995,0.92666,0.40812,0.47207,0.11081,0.28367,0.93599,0.0005744,0.0005744,0.0005744
