t_s,H,n_kpts,rms_m,source
2642.0,"[[0.0032399413090533867, -0.04414323218094, 28.345092153131365], [0.0007073620223587833, 0.0319271310163253, -11.944101365684647], [-6.88452221114193e-05, -0.0014435907941966624, 1.0]]",12,1.2,model
2643.0,"[[0.0028177586247639806, -0.04478877775992528, 26.510823480703053], [0.00036325713462622626, 0.02976483071767473, -11.499161665910702], [-7.162519650432238e-05, -0.0014561536458951932, 0.9999999999999999]]",13,0.47,model
2644.0,"[[0.0053700895147910325, -0.0483392761562552, 23.617123597650355], [-0.00040395037355136967, 0.03407253548088165, -12.972569734783333], [-7.630204850009883e-06, -0.0015750373110084734, 1.0]]",15,0.69,model
2645.0,"[[0.0072969111523438915, -0.05249123606783128, 23.19708615875655], [-0.001467541785940321, 0.03752400820696511, -13.099357031740025], [6.206509195656419e-05, -0.0016622572268255727, 1.0]]",13,0.67,model
2646.0,"[[0.007116958950782112, -0.050870900770062746, 21.46318835357776], [-0.0020048561561389834, 0.03790738938022881, -12.060602212905126], [4.7391120551023646e-05, -0.001595341297819056, 1.0]]",10,0.96,model
2647.0,"[[0.005924849563604819, -0.04921940440525739, 20.5476015016095], [-0.0027665935377498767, 0.03702651701866191, -10.709016559591701], [8.101737029930589e-06, -0.0015050195994532737, 1.0]]",8,0.49,model
2648.0,"[[0.004417644269705929, -0.040855294569258245, 16.897897293536722], [-0.0019749420708877062, 0.02133548462704739, -5.02504103611981], [-9.08538191196249e-06, -0.001560022104477259, 1.0]]",7,1.86,model
2649.0,"[[0.004590103716716137, -0.04156746341898482, 16.937848446524377], [-0.0019431701734045775, 0.02176642272037613, -5.209237141368644], [-2.0336079124727996e-06, -0.0015853335288463614, 1.0]]",7,1.96,model
2650.0,"[[0.004495230720467139, -0.04113191803029967, 16.945915742487905], [-0.001955223859413606, 0.021817053102597128, -5.244235323315087], [-6.319952073469824e-06, -0.0015657618071721773, 1.0]]",7,1.9,model
2651.0,"[[0.0054791658036900765, -0.04678429088900812, 19.78132932240718], [-0.0036544967283375983, 0.04628766301957725, -13.630557001101957], [-6.429306261592251e-05, -0.0012411041139651852, 0.9999999999999999]]",8,2.04,model
2652.0,"[[0.006213257866824441, -0.04951561105148653, 20.320690275564065], [-0.002865708823871213, 0.037359266046257285, -10.916596332414096], [1.5437241957564236e-05, -0.0015347171583251892, 1.0]]",10,2.07,model
