t_s,H,n_kpts,rms_m,source
2774.0,"[[0.007077099051095581, -0.0519386691753924, 21.86536921983665], [-0.0021110180599869946, 0.034519535440650014, -10.846380720183376], [6.394837559055049e-05, -0.0016903525306441647, 1.0]]",12,1.37,model
2775.0,"[[0.003049093949782247, -0.04649651600278292, 26.016742592526516], [0.0003910859459520279, 0.030273791252361112, -12.425758756592284], [-6.774391861270192e-05, -0.0015014454769654822, 1.0]]",15,0.45,model
2776.0,"[[0.0032235580089441376, -0.042991592480178545, 28.447437521466643], [0.0012840530583269716, 0.03546660094656764, -13.866859222321846], [-9.056644348026815e-05, -0.0014147332746234189, 1.0]]",12,0.86,model
2777.0,"[[0.004110015209637024, -0.04258919508220435, 29.565367211574976], [0.0020985990190682154, 0.0375876707198965, -15.264566870173827], [-7.985408157928682e-05, -0.0014260158448660193, 1.0]]",10,0.56,model
2778.0,,0,,reject
2779.0,,0,,reject
2780.0,,0,,reject
2781.0,"[[0.003644229647844656, -0.04513885552174769, 26.170753947504245], [0.0004962330710165649, 0.03184087129914251, -12.330293195668531], [-5.891476681665803e-05, -0.0014640895355809477, 1.0]]",13,0.95,model
2782.0,"[[0.0068871140811085025, -0.05163260304373271, 22.971190038862748], [-0.0015829687499639509, 0.03475993711414714, -11.772197346388351], [5.844447195384926e-05, -0.0016475648999005885, 1.0]]",13,0.83,model
2783.0,"[[0.006416511596295315, -0.04813415637478528, 20.239274970359048], [-0.002409394585158943, 0.03499376894663228, -10.134796709949443], [2.3981603038928556e-05, -0.0015312439840916906, 1.0]]",8,0.69,model
2784.0,"[[0.006460193282188161, -0.04847695676023193, 20.113310724645206], [-0.0026882125125275, 0.035085653502469366, -9.860777922717462], [3.1397440182553166e-05, -0.0015528052844723582, 1.0]]",7,0.45,model
2785.0,"[[0.006088138763566049, -0.046650584651936576, 20.189566483245518], [-0.0024356247808907374, 0.036303818390784746, -10.58722176413898], [5.828830730804827e-06, -0.0014663248752351842, 1.0]]",8,0.85,model
2786.0,"[[0.005830391413495351, -0.048754007324107944, 20.573691141863684], [-0.0027567080133055824, 0.036961985392628016, -10.717457733693857], [4.240659882399395e-06, -0.0014841331550878693, 1.0]]",8,0.51,model
2787.0,"[[0.006765803068273774, -0.05319967665025169, 21.24869086429863], [-0.0031121657349851345, 0.04259135333716375, -12.906037783544479], [2.4365434381502442e-05, -0.0015429173914951783, 1.0]]",8,0.82,model
2788.0,"[[0.006696508517777451, -0.052968460115060546, 21.334064995616767], [-0.0030567738355759483, 0.04247362122271618, -13.029044210845319], [2.3336301937402298e-05, -0.0015351927963140621, 1.0]]",8,0.83,model
2789.0,"[[0.006595451219070609, -0.052528496914287605, 21.22476525520874], [-0.003084927188635945, 0.043045283711798395, -13.131077693379044], [1.650803244461941e-05, -0.0015139654719527626, 1.0]]",8,0.77,model
2790.0,"[[0.006619429289169169, -0.052590785899972715, 21.27938812645688], [-0.0030104743225260466, 0.04318812265159168, -13.10279558671733], [1.5864175790932767e-05, -0.0015012021025174853, 1.0]]",8,0.76,model
2791.0,"[[0.006663792449777124, -0.05283677304694622, 21.243290788899582], [-0.0030202124677511486, 0.0428804283498266, -13.021100920822171], [1.866961104448706e-05, -0.001519209530358633, 1.0]]",8,0.75,model
2792.0,"[[0.005751407516788544, -0.04843793375119943, 20.127035058258052], [-0.003359263506475185, 0.03470430806189532, -8.911349765881809], [-3.911360281812755e-06, -0.0014994176495507687, 1.0]]",9,1.37,model
2793.0,"[[0.006297002220611061, -0.047840558323346834, 19.826532851460964], [-0.0025648268601815177, 0.03239531327825035, -9.047954561097605], [3.1226008862903286e-05, -0.0015844273295706809, 1.0]]",10,0.79,model
2794.0,"[[0.006337157005256583, -0.04881931524243669, 20.150210495355786], [-0.0025517305393083457, 0.034130426555577166, -9.699188483746251], [3.298392531937273e-05, -0.0015886032826068638, 1.0]]",7,0.56,model
2795.0,"[[0.00626830218103424, -0.04791549685696156, 19.846166512518963], [-0.0025703919163351033, 0.03264330381107315, -9.180255142557334], [2.998139501586469e-05, -0.0015847798687398879, 1.0]]",10,0.79,model
2796.0,"[[0.006425204278032979, -0.048490371148606055, 19.967461193374184], [-0.0025808249689271926, 0.034193400137286147, -9.80543822083134], [3.08256747936989e-05, -0.0015775489472756308, 1.0]]",10,0.77,model
2797.0,"[[0.006425651676762759, -0.04847296863143625, 19.991053561052286], [-0.002572001023449013, 0.03395646726695549, -9.715045755201848], [3.1840102247764394e-05, -0.0015790510509371349, 1.0]]",10,0.76,model
2798.0,"[[0.0074248559986313965, -0.051947251240194524, 21.18388424483581], [-0.0023441577434665205, 0.038039201093214514, -11.830746940732116], [6.172462200178052e-05, -0.001638700275697972, 1.0]]",10,1.34,model
2799.0,"[[0.006814310883297765, -0.051838202721513425, 23.009202912246295], [-0.0015354916000747062, 0.03544120526171706, -12.07968060253413], [5.462572152895063e-05, -0.001657255372881866, 0.9999999999999999]]",13,0.63,model
2800.0,"[[0.007152025800893674, -0.05202661288674824, 23.21481282317963], [-0.0014051120395439942, 0.036858400784569055, -12.891110833634176], [5.855952528373203e-05, -0.0016515520137774682, 1.0]]",13,0.63,model
2801.0,,12,3.04,reject
2802.0,"[[0.006257716325931874, -0.049421144924122154, 20.317288827835053], [-0.0027545484274487646, 0.03701781572005242, -10.809569237238609], [1.869664896169873e-05, -0.0015411516040082038, 1.0]]",10,1.78,model
2803.0,"[[0.006764208409118843, -0.04992295169098552, 17.50848911395374], [-0.0006199553398627852, 0.00920035249692816, -1.1338601709219163], [0.0001169675597360201, -0.0019906850804882925, 1.0]]",7,1.72,model
2804.0,,7,3.22,reject
2805.0,"[[0.005366784121518494, -0.045816972862666366, 17.946329103136915], [-0.0009357748464756424, 0.015885486591521024, -3.8090200909530894], [7.288909443153984e-05, -0.0018343068851995898, 0.9999999999999999]]",7,0.88,model
2806.0,"[[0.006830555656875991, -0.05119849099100589, 20.5958688362272], [-0.002477533597753404, 0.035347385028519224, -10.044433254780907], [5.308797295656229e-05, -0.0016281462364479706, 0.9999999999999999]]",9,1.35,model
2807.0,"[[0.006106033600915432, -0.04987072615311445, 21.014590730393273], [-0.0028313769394193813, 0.04245229919561173, -12.731225997863367], [-2.3996508968649403e-06, -0.0014239318361054926, 1.0]]",8,0.78,model
2808.0,"[[0.0064121402543648376, -0.04928779547217906, 20.00533199597124], [-0.0029878468286912508, 0.03905958849905898, -10.789768616168855], [6.602017390955819e-06, -0.0014700882265157446, 0.9999999999999999]]",8,1.9,model
2809.0,,8,16.31,reject
2810.0,,7,4.9,reject
2811.0,"[[0.011727019579101333, -0.051765024417346164, 11.702882134315635], [-0.001436502716393922, 0.033992861832968235, -10.298650605547428], [0.0001883519312486809, -0.0020280033084260313, 1.0]]",7,2.79,model
2812.0,,0,,reject
2813.0,,7,5.45,reject
2814.0,,7,5.32,reject
2815.0,"[[0.011788005408048694, -0.052832721364137046, 12.61473613337233], [-0.0005358756695258869, 0.032996399001226556, -11.616117780290008], [0.00021385727373269433, -0.0020847699781122377, 1.0]]",7,2.92,model
2816.0,"[[0.011764655720699568, -0.0542424295027811, 13.034738472992657], [-0.0004899059053746076, 0.03192793595653644, -11.178503375097986], [0.00022457487911881145, -0.0021520170221110083, 1.0]]",7,2.8,model
2817.0,"[[0.0065999963945237205, -0.04962998694587868, 18.958092694368133], [-0.0014738223560321277, 0.02432925330498675, -6.796629806248021], [9.70528734250417e-05, -0.0018297940780920919, 1.0]]",8,2.3,model
2818.0,"[[0.006031727919548973, -0.048009801497029915, 21.54130463519141], [-0.0019156467791013123, 0.033895484333956734, -10.065909795518712], [2.666309263904945e-05, -0.0015337060252186739, 1.0]]",10,0.42,model
2819.0,"[[0.007282406308998171, -0.05026637604377196, 22.976540651866976], [-0.0009112077946822441, 0.0387794926914616, -14.399658554865788], [4.6110344746812e-05, -0.001604917331563631, 1.0]]",14,0.6,model
2820.0,"[[0.00424921886089292, -0.046727775611326884, 24.452387561389905], [9.767838113367345e-05, 0.03276348153526807, -13.018796669483844], [-4.214030189445097e-05, -0.0015300673727042283, 1.0]]",16,0.69,model
