frame,t_s,track_id,x1,y1,x2,y2,foot_x,foot_y,team
156317,2605.2833450450325,0,1620.8801,357.7792,1649.5464,438.92203,1635.2133,438.92203,HCAP
156323,2605.383345045482,0,1610.8832,355.33704,1640.4335,439.162,1625.6583,439.162,HCAP
156329,2605.483345045932,0,1595.2914,356.4061,1631.6451,440.24918,1613.4683,440.24918,HCAP
156335,2605.583345046381,0,1586.8689,364.68182,1623.4332,441.57935,1605.1511,441.57935,HCAP
156341,2605.6833450468307,0,1573.5886,357.69608,1614.6958,444.65643,1594.1422,444.65643,HCAP
156347,2605.7833450472804,0,1562.0424,357.99628,1606.6212,440.4593,1584.3318,440.4593,HCAP
156353,2605.88334504773,0,1551.8115,360.8653,1590.9609,438.84918,1571.3862,438.84918,HCAP
156359,2605.983345048179,0,1535.5063,360.40045,1573.6604,437.71674,1554.5834,437.71674,HCAP
156365,2606.083345048629,0,1525.347,357.13348,1563.0923,434.65567,1544.2197,434.65567,HCAP
156371,2606.1833450490785,0,1512.9232,355.92096,1567.5227,440.41205,1540.2229,440.41205,HCAP
156377,2606.283345049528,0,1504.8541,367.86047,1538.8293,440.5594,1521.8418,440.5594,HCAP
156383,2606.3833450499774,0,1491.7736,366.01895,1529.8962,438.70084,1510.835,438.70084,HCAP
156389,2606.483345050427,0,1483.7676,367.30243,1517.2695,439.22754,1500.5186,439.22754,HCAP
156395,2606.5833450508767,0,1472.6549,364.78207,1504.291,436.9337,1488.4729,436.9337,HCAP
156401,2606.6833450513263,0,1463.0981,371.31454,1488.8418,437.6489,1475.97,437.6489,HCAP
156407,2606.7833450517755,0,1445.2595,359.09573,1479.2017,428.07047,1462.2306,428.07047,HCAP
156419,2606.983345052675,0,1429.272,363.4868,1456.8717,440.43924,1443.0718,440.43924,HCAP
156425,2607.0833450531245,0,1418.874,367.95026,1443.627,441.95325,1431.2505,441.95325,HCAP
156431,2607.1833450535737,0,1403.9263,360.537,1432.9126,444.05627,1418.4194,444.05627,HCAP
156437,2607.283345054024,0,1391.5322,375.78094,1419.7437,445.72668,1405.638,445.72668,HCAP
156443,2607.383345054473,0,1378.4637,365.6067,1408.4945,444.50317,1393.4791,444.50317,HCAP
156449,2607.4833450549227,0,1364.2275,360.69708,1397.7844,444.23785,1381.006,444.23785,HCAP
156455,2607.583345055372,0,1355.2666,360.78625,1386.871,443.031,1371.0688,443.031,HCAP
156461,2607.683345055821,0,1341.7222,367.4859,1374.3469,443.30676,1358.0345,443.30676,HCAP
156473,2607.883345056721,0,1317.1545,372.2514,1345.2744,443.0929,1331.2145,443.0929,HCAP
156479,2607.98334505717,0,1304.0027,364.07648,1336.2723,439.0894,1320.1375,439.0894,HCAP
156485,2608.08334505762,0,1291.8997,374.76654,1323.4016,444.1594,1307.6506,444.1594,HCAP
156491,2608.1833450580693,0,1279.9602,359.61493,1313.8987,442.1348,1296.9294,442.1348,HCAP
156497,2608.2833450585185,0,1258.1927,359.7703,1303.474,443.41855,1280.8334,443.41855,HCAP
156503,2608.383345058968,0,1249.1938,356.633,1290.2274,443.08038,1269.7107,443.08038,HCAP
156509,2608.483345059418,0,1239.4004,356.55368,1279.31,442.889,1259.3552,442.889,HCAP
156515,2608.5833450598675,0,1227.5171,358.19,1265.3441,441.12717,1246.4307,441.12717,HCAP
156527,2608.7833450607664,0,1207.9683,375.60406,1245.0486,460.82574,1226.5084,460.82574,HCAP
156539,2608.9833450616657,0,1186.1151,365.08658,1221.468,440.63388,1203.7915,440.63388,HCAP
156545,2609.083345062115,0,1175.6353,357.96497,1207.2136,440.21164,1191.4244,440.21164,HCAP
156557,2609.283345063014,0,1150.4922,361.83646,1184.7656,442.47418,1167.6289,442.47418,HCAP
156563,2609.383345063464,0,1141.5132,361.01697,1177.4205,443.89673,1159.4668,443.89673,HCAP
156569,2609.483345063913,0,1130.8145,357.82117,1169.6394,445.63617,1150.2269,445.63617,HCAP
156575,2609.5833450643627,0,1120.9149,358.3382,1158.2999,446.96387,1139.6074,446.96387,HCAP
156581,2609.6833450648123,0,1112.6755,380.40683,1145.2972,445.8502,1128.9863,445.8502,HCAP
156587,2609.783345065262,0,1102.6453,361.01285,1136.044,448.12555,1119.3446,448.12555,HCAP
156593,2609.883345065711,0,1091.6129,363.43243,1126.5168,447.3518,1109.065,447.3518,HCAP
156599,2609.983345066161,0,1082.2363,366.06995,1114.405,448.56638,1098.3207,448.56638,HCAP
156605,2610.0833450666105,0,1071.2759,365.1073,1105.3933,446.8122,1088.3346,446.8122,HCAP
156611,2610.18334506706,0,1061.3112,365.43228,1096.3132,446.12833,1078.8123,446.12833,HCAP
156617,2610.2833450675093,0,1053.2163,366.8866,1088.1755,446.6411,1070.6959,446.6411,HCAP
156623,2610.383345067959,0,1051.8508,366.55307,1087.1665,447.60178,1069.5087,447.60178,HCAP
156629,2610.4833450684087,0,1044.3323,395.16,1083.6759,533.11426,1064.0042,533.11426,HCAP
156635,2610.5833450688583,0,1020.46643,391.33658,1065.7894,487.77686,1043.1279,487.77686,HCAP
156641,2610.6833450693075,0,1030.1101,396.0512,1075.0732,487.6847,1052.5917,487.6847,HCAP
156647,2610.783345069757,0,1042.7567,396.647,1092.479,489.77243,1067.6179,489.77243,HCAP
156707,2611.7833450742523,0,959.93646,426.9585,994.27313,538.829,977.1048,538.829,HCAP
156035,2600.5833450239043,1,1756.6633,360.50647,1807.7996,432.90866,1782.2314,432.90866,HCAP
