t_s,H,n_kpts,rms_m,source
2720.0,"[[0.003655134787603727, -0.04749334773062177, 25.73751881441058], [7.638757909853722e-05, 0.03078654771272922, -12.254607405311793], [-5.7062295076443304e-05, -0.0015388587162816596, 1.0]]",16,0.36,model
2721.0,"[[0.0046260999664541665, -0.048632471351071474, 24.803481289178276], [-0.0001978208536764557, 0.03300559176065357, -13.0251929088304], [-2.480353061300598e-05, -0.0015879746297360962, 1.0]]",17,0.67,model
2722.0,"[[0.006628127842843732, -0.05091377044479319, 23.275276520747486], [-0.0011174692525585334, 0.034320683046785365, -12.454843237565747], [4.214860577371608e-05, -0.0016572067782506766, 1.0]]",14,0.6,model
2723.0,"[[0.006686244631507078, -0.053022826124393026, 23.430664778442118], [-0.0014943423020683368, 0.03621953243709743, -12.578901682279705], [5.65678658148921e-05, -0.0016900507597484421, 1.0]]",13,1.75,model
2724.0,"[[0.00602675071692724, -0.05054830696276148, 23.47965530991786], [-0.000993263923667747, 0.03438628674786333, -12.666404547203022], [2.59652894363838e-05, -0.001643136922190538, 1.0]]",14,0.55,model
2725.0,"[[0.0054437118472560955, -0.049228356779346234, 24.34085098787882], [-0.00040433312131974813, 0.0357580321795059, -13.867661763316478], [-1.0739213684349552e-05, -0.0015892236175358645, 1.0]]",16,0.65,model
2726.0,"[[0.006068841318043467, -0.05000201717938539, 23.530594250521656], [-0.0008469719263691972, 0.03399760484394417, -12.677870094025552], [2.29585061990076e-05, -0.0016340937695065267, 1.0]]",14,0.48,model
2727.0,,11,3.06,reject
2728.0,"[[0.0035215037243920065, -0.040629404520074686, 19.03322260712274], [-0.0022273328028411523, 0.02933680133657976, -8.480507733686835], [-7.115218308725639e-05, -0.001360828927375154, 1.0]]",10,2.97,model
2729.0,,0,,reject
2730.0,,0,,reject
2731.0,,0,,reject
2732.0,,0,,reject
2733.0,,0,,reject
2734.0,,0,,reject
2735.0,,0,,reject
2736.0,,0,,reject
2737.0,,0,,reject
2738.0,"[[0.00575348075849383, -0.04928325468712475, 21.175972799431932], [-0.0021288217542684666, 0.034394479748512286, -10.22916109376766], [2.3417200865531232e-05, -0.0015889359899343982, 1.0]]",10,1.17,model
2739.0,"[[0.005839826624940014, -0.04809658585256453, 20.2865882469719], [-0.0017084696561241236, 0.028462056000054973, -7.850290639303848], [2.8340932171748763e-05, -0.0016115845720781842, 1.0]]",10,1.52,model
2740.0,"[[0.00663205905550485, -0.052215526116525614, 23.38480348065191], [-0.0020301552131683637, 0.03696572857771023, -12.572091190077199], [5.269059811421351e-05, -0.0016631261098814098, 0.9999999999999999]]",13,1.44,model
2741.0,"[[0.005898023409593821, -0.04954878656402168, 23.52575424522885], [-0.0007966309293486819, 0.033963146614904086, -12.775746391713541], [1.5306683978243132e-05, -0.0016217065438699618, 0.9999999999999999]]",15,0.43,model
2742.0,"[[0.00446647921142152, -0.0480959394097913, 24.96708001004992], [-0.0001393852617442288, 0.032455570767812685, -12.790413008516046], [-3.356460095279733e-05, -0.001562786187145308, 1.0]]",16,0.5,model
2743.0,"[[0.0020827199146397466, -0.0464411181139825, 26.826205205967234], [0.0005570600852005071, 0.029676438310294248, -12.233672952134414], [-9.290452366478686e-05, -0.0015131500059708785, 1.0]]",15,0.56,model
2744.0,"[[0.0024841685576650857, -0.04619055572327128, 28.08085116303211], [0.0008472431853387527, 0.03227667422567884, -13.130932236262405], [-9.0399159137613e-05, -0.0014974566736598927, 1.0]]",13,0.42,model
2745.0,"[[0.0023195425007534114, -0.045887121911738216, 28.153768517854825], [0.000923830337269663, 0.03142950692294698, -12.594835105641822], [-9.905707412172201e-05, -0.0014904278394313527, 1.0]]",13,0.32,model
2746.0,"[[0.005523927852805967, -0.04924798730306965, 23.908133344966984], [-0.0004859216475680252, 0.034952466739737, -13.534928473875864], [-1.5458128899765017e-06, -0.0016038976661196759, 1.0]]",16,0.45,model
2747.0,"[[0.008963863788412855, -0.05257908247357525, 21.184512048347493], [-0.002754374037600758, 0.04994912301072938, -16.543919043596862], [7.483864942282363e-05, -0.0015665548192600218, 1.0]]",12,2.18,model
2748.0,,10,3.43,reject
2749.0,,0,,reject
2750.0,,0,,reject
2751.0,,0,,reject
2752.0,,0,,reject
2753.0,,0,,reject
2754.0,,0,,reject
2755.0,,0,,reject
2756.0,,0,,reject
2757.0,,0,,reject
2758.0,,0,,reject
2759.0,,0,,reject
2760.0,"[[0.006766558435478425, -0.05167857041802727, 22.50154545687912], [-0.0018804383155729394, 0.035819162024316405, -11.394753372794492], [5.70143651893601e-05, -0.0016633038686670212, 1.0]]",12,1.32,model
2761.0,"[[0.005650635349183439, -0.04894102770414348, 24.199158884498086], [-0.0004258335593035022, 0.03469435916070476, -13.032089881541006], [-2.337323152402063e-06, -0.0015908950718630302, 1.0]]",16,0.5,model
2762.0,"[[0.0018134557546050432, -0.04577433885937659, 27.18368475164312], [0.0008163656834844566, 0.030147257495245477, -12.44775744672141], [-0.00010413299567403862, -0.0014938799186627852, 1.0]]",14,0.67,model
2763.0,"[[0.0021609021882392043, -0.046266509376062574, 27.684058927329698], [0.0007425333637456092, 0.03179493778563412, -12.747290072260942], [-9.739964228935192e-05, -0.0015078204559022018, 1.0]]",13,0.78,model
2764.0,"[[0.0023640793440716117, -0.04680824530260997, 27.823430290251498], [0.0006221730938036672, 0.030650349166651696, -12.310753154083395], [-9.125322349022729e-05, -0.0015152178888262998, 1.0]]",13,0.6,model
2765.0,"[[0.0019270397948323347, -0.04646559445880939, 27.852406254830683], [0.0007931108562701776, 0.030583589853771232, -12.432298944057628], [-0.00010285232750654743, -0.0015047330896925126, 1.0]]",13,0.6,model
2766.0,"[[0.0027747344666567224, -0.04658732730681855, 26.425056207223463], [0.0003398156131443347, 0.0296353756423301, -11.971642821566057], [-8.027185648765115e-05, -0.0015091514970523526, 1.0]]",16,0.53,model
2767.0,"[[0.004702072512579243, -0.04833056485068761, 24.566193551386572], [-0.00023678581837496213, 0.03355017432987736, -13.190283312440362], [-2.6897154038468616e-05, -0.0015746571357614272, 1.0]]",17,0.52,model
2768.0,"[[0.006473809835258613, -0.05106719385590108, 23.461605690650856], [-0.0012321498760368547, 0.03471271320590337, -12.49095098909663], [4.082947245994545e-05, -0.0016508185679670964, 1.0]]",14,0.71,model
2769.0,"[[0.006527745861838331, -0.0522976756929202, 22.63890855007747], [-0.00214334180063924, 0.03960880810046803, -13.275679696596429], [4.669389331274137e-05, -0.0016332296568233057, 1.0]]",11,1.89,model
2770.0,"[[0.006380725792506287, -0.05065170024926067, 19.689496766003277], [-0.0018654775444550125, 0.026360578102919453, -7.816249067735528], [7.118727270912185e-05, -0.0018163648272621045, 1.0]]",10,2.1,model
2771.0,,0,,reject
2772.0,,0,,reject
2773.0,,0,,reject
2774.0,,12,3.21,reject
2775.0,"[[0.003755157975741578, -0.0485948473667043, 25.842971888605746], [3.1706488053524655e-05, 0.031238612023592304, -12.453005746735965], [-4.4109842959485594e-05, -0.001581523568704512, 1.0]]",16,0.52,model
2776.0,"[[0.002399547078008918, -0.04679736577639149, 29.13223169664046], [0.0018104222934971048, 0.03131176919015586, -13.081441562725864], [-9.01348560608108e-05, -0.001508851933146269, 1.0]]",12,2.02,model
2777.0,,0,,reject
2778.0,,0,,reject
2779.0,,0,,reject
2780.0,,0,,reject
2781.0,"[[0.0038736840803915438, -0.04690744269030373, 26.0714141886754], [6.373905682983323e-05, 0.03138898396493997, -11.686893264935259], [-5.368395514097879e-05, -0.001511881433828845, 1.0]]",16,0.62,model
2782.0,"[[0.00680272705118751, -0.053372630424551225, 23.305509434657992], [-0.001989486755544845, 0.03777145868251872, -12.788777619013711], [5.8721688709706075e-05, -0.0016934948932619204, 1.0]]",13,1.81,model
2783.0,"[[0.007997612361920026, -0.05077512295046561, 20.08645127207477], [-0.003566350419294176, 0.047408489102725535, -14.301230699119223], [4.2072442214283115e-05, -0.0015088069114514515, 1.0]]",10,1.59,model
2784.0,"[[0.005845645917846056, -0.04986268693961685, 20.916182151154725], [-0.0024046908744059436, 0.03203104993963634, -9.481617070859057], [3.6646368483128824e-05, -0.0016601231495046046, 0.9999999999999999]]",10,1.48,model
2785.0,"[[0.00931499877909545, -0.0540302040450839, 20.026386023061022], [-0.004209442511998581, 0.05220674104552032, -15.315693285109022], [7.305346891818989e-05, -0.0015895470458407827, 1.0]]",10,1.75,model
2786.0,"[[0.003926322676892836, -0.042650711119670726, 19.37637037210728], [-0.0020758059150507743, 0.03470287117647422, -10.96823140359449], [-6.117565587629933e-05, -0.0013925495890251146, 1.0]]",10,2.71,model
2787.0,,0,,reject
2788.0,,0,,reject
2789.0,,0,,reject
2790.0,,0,,reject
2791.0,,0,,reject
2792.0,"[[0.004437950873522327, -0.044946252240450166, 19.713652111207182], [-0.0023370166737717787, 0.03459190791837318, -10.586855985502812], [-3.5340922149276444e-05, -0.0014802639392175656, 1.0]]",10,2.54,model
2793.0,"[[0.0061624153909577584, -0.05016860127012466, 20.652241639521744], [-0.002439911726677329, 0.03309438477624368, -9.610879877011959], [3.927647318873312e-05, -0.0016580572896618662, 0.9999999999999999]]",10,1.26,model
2794.0,"[[0.007031535046542636, -0.05042869394345764, 20.105432462074745], [-0.0033144995057255116, 0.039700748320244714, -10.966536524106935], [3.236725063306003e-05, -0.001566451893885216, 1.0]]",10,1.7,model
2795.0,"[[0.007007966593513171, -0.050257752126673404, 20.028315585571978], [-0.003259894618167345, 0.03920175853970123, -10.879858269610589], [3.170660813342591e-05, -0.0015671831139962593, 0.9999999999999999]]",10,1.58,model
2796.0,"[[0.0070360726197038785, -0.05006472078687174, 19.897542483870254], [-0.003342866301851843, 0.03911632646963947, -10.703227451067297], [3.0354738926287702e-05, -0.0015614822176111213, 0.9999999999999999]]",10,1.62,model
2797.0,"[[0.006681311161595584, -0.04895172977680897, 20.104207232011888], [-0.0028128833569377137, 0.03959504190035411, -11.589909446118789], [1.957421648710851e-05, -0.001511346492029801, 1.0]]",10,1.75,model
2798.0,"[[0.007671459716359045, -0.05023520150218047, 20.629963297878444], [-0.0025691679087664586, 0.04799504696978212, -15.635082788433326], [3.300373639428647e-05, -0.0014872965793287826, 1.0]]",10,1.65,model
2799.0,"[[0.006472919499378342, -0.05274501127118013, 23.447124019731316], [-0.0015431800361058482, 0.03682629184352753, -13.00058853038166], [4.952968915687505e-05, -0.0016801920779156224, 1.0]]",13,1.68,model
2800.0,"[[0.007109976285109345, -0.05267200962808546, 23.21426758636741], [-0.0014878975601833198, 0.036928050241395706, -12.883351899687508], [5.660948192026927e-05, -0.0016735797810958327, 1.0]]",13,1.09,model
2801.0,"[[0.007730340919879262, -0.05162771462270475, 21.234089861443874], [-0.002339694535499083, 0.04549097627868971, -15.145667699137768], [5.01817572756949e-05, -0.0015805408234251849, 1.0]]",12,1.98,model
2802.0,"[[0.006021051666212399, -0.05080117602943248, 20.23758785742259], [-0.002136430188769957, 0.03332674899773045, -10.314333435091728], [3.303318634492767e-05, -0.00169901921034946, 1.0]]",10,1.31,model
2803.0,,0,,reject
2804.0,,0,,reject
2805.0,,0,,reject
2806.0,"[[0.005971969039217861, -0.04705533552696761, 18.905284338864163], [-0.0036401236362739323, 0.033607877475910965, -7.300101922195179], [-1.536248359156654e-05, -0.0014780535147395568, 0.9999999999999999]]",10,1.41,model
2807.0,"[[0.004484188281933723, -0.04272889075894974, 18.310820318156775], [-0.0027153758392355117, 0.03002525438816908, -7.58081300117517], [-4.975439010464094e-05, -0.0014373957474844348, 1.0]]",10,2.91,model
2808.0,"[[0.004399306395890377, -0.04306007999522293, 18.871656163601962], [-0.002572593311463883, 0.03073016257180616, -8.002584624597397], [-4.533362795599603e-05, -0.0014393374341289354, 1.0]]",10,2.57,model
2809.0,,0,,reject
2810.0,,0,,reject
2811.0,,0,,reject
2812.0,,0,,reject
2813.0,,0,,reject
2814.0,,0,,reject
2815.0,,0,,reject
2816.0,,0,,reject
2817.0,,0,,reject
2818.0,"[[0.007387883786320142, -0.050178933125294256, 21.01481449936886], [-0.002841600183415736, 0.04947327493829098, -15.37003898775231], [2.3067180280767743e-05, -0.0014785788361966344, 1.0]]",10,1.79,model
2819.0,"[[0.006268867550709041, -0.05050788160602125, 23.36166653925524], [-0.0010736562623229562, 0.03437391090729304, -12.535300005837719], [3.1544196715497476e-05, -0.001638820216971279, 1.0]]",14,0.56,model
2820.0,"[[0.004755874262018754, -0.04794784451137258, 24.484934880196196], [-0.0001687681880249333, 0.033127926757067314, -13.076546731379548], [-2.6638000122607675e-05, -0.0015687098857716623, 1.0]]",17,0.44,model
