t_s,H,n_kpts,rms_m,source
2600.0,"[[0.007108913240575995, -0.053665189512060146, 23.09271363661085], [-0.001869662536780697, 0.036889846673708995, -12.349049693238106], [6.562676049362251e-05, -0.0017105270211833722, 1.0]]",13,1.64,model
2601.0,"[[0.00681515254664934, -0.05313369398949936, 23.23323035164081], [-0.0016875992386630608, 0.036784820695270316, -12.563916016741054], [5.83910422992658e-05, -0.0016893576035026169, 0.9999999999999999]]",13,1.75,model
2602.0,"[[0.007045880710935192, -0.053783638716851566, 23.277240254358315], [-0.001940944984061276, 0.037650495890156774, -12.665065247325455], [6.493912702791698e-05, -0.0017068817665621709, 1.0]]",13,1.81,model
2603.0,"[[0.007509803760153143, -0.05368323646863979, 22.892796269046144], [-0.0016580381598634995, 0.03631077893912663, -12.470704859299019], [7.51205093999548e-05, -0.0017160578845289679, 0.9999999999999999]]",13,1.42,model
2604.0,"[[0.007048908366535786, -0.051840512455660355, 23.145167451152492], [-0.001431533096387128, 0.0358864658149273, -12.528213953089873], [5.5292003209859684e-05, -0.0016571483478812331, 1.0]]",13,0.96,model
2605.0,"[[0.007350257720216441, -0.05273665170757012, 23.333267150548405], [-0.0013891658852977827, 0.03575533502687963, -12.4838910262974], [6.650081856377719e-05, -0.0016787395181968525, 1.0]]",13,1.16,model
2606.0,"[[0.007325172950078101, -0.052463996410409976, 23.232820337022133], [-0.0014468711865190502, 0.03533182175625702, -12.336391731058745], [6.601969664811501e-05, -0.0016768734719478616, 0.9999999999999999]]",13,0.9,model
2607.0,"[[0.007387530916013149, -0.05275870436122749, 23.24176769234019], [-0.0014220776780494286, 0.035601040509990224, -12.481066553832035], [6.705039845102119e-05, -0.001683998192780023, 1.0]]",13,0.9,model
2608.0,"[[0.007534786594117771, -0.053026154878463926, 23.35367775729967], [-0.0014952555295864897, 0.036528466312572484, -12.791029443406922], [7.036139605892193e-05, -0.0016802644172096487, 0.9999999999999999]]",13,1.13,model
2609.0,"[[0.006825137083026375, -0.05160878811374897, 23.121051307242073], [-0.0015560136240842307, 0.03554141635961868, -12.213732178375736], [4.859486749459938e-05, -0.0016525602509437417, 1.0]]",13,0.97,model
2610.0,"[[0.006798546197408423, -0.05148794255506154, 23.175651318259213], [-0.0013368155046620564, 0.03563840080907971, -12.592248313901292], [4.816696873603835e-05, -0.001646616832120216, 1.0]]",13,0.94,model
2611.0,"[[0.009291491499376872, -0.052775637974025694, 21.26404336255463], [-0.003589772111330988, 0.05540717954693228, -17.99787880785604], [6.061909324261407e-05, -0.0015285353590412949, 0.9999999999999999]]",12,2.63,model
2612.0,"[[0.007345995201928163, -0.051252729127207734, 20.45434175084927], [-0.003364969321212204, 0.04360033404004781, -12.939107802902933], [3.920507890459235e-05, -0.0015657692366692138, 1.0]]",10,1.69,model
2613.0,,0,,reject
2614.0,,0,,reject
2615.0,,0,,reject
2616.0,,0,,reject
2617.0,,0,,reject
2618.0,,0,,reject
2619.0,,0,,reject
2620.0,,0,,reject
2621.0,,0,,reject
2622.0,,0,,reject
2623.0,,0,,reject
2624.0,,0,,reject
2625.0,"[[0.005431572159362953, -0.04943245123388673, 22.09852420427863], [-0.0019867017378940124, 0.03640961921404631, -11.504937231155338], [1.4148390524924821e-05, -0.0015615921774608924, 1.0]]",10,1.23,model
2626.0,"[[0.007309107777973223, -0.04955578775479149, 21.32178022116637], [-0.0023633072622467207, 0.0429437889212557, -13.285513129972562], [3.698002503015714e-05, -0.001528025843547167, 1.0]]",12,1.43,model
2627.0,"[[0.005772450469469137, -0.04764622792961227, 19.915630478128453], [-0.0019852606121860805, 0.02839792515928205, -7.8943559142445086], [3.2064284145805345e-05, -0.0016382259963316846, 1.0]]",10,1.39,model
2628.0,,0,,reject
2629.0,"[[0.0059378303586820926, -0.05018368549135267, 21.639181126685454], [-0.002148119169576389, 0.035301702278910524, -10.901208884370089], [2.9881022471870235e-05, -0.0016125712225073285, 0.9999999999999999]]",10,1.27,model
2630.0,"[[0.005108283836957366, -0.04955730530740188, 24.600561351252875], [-0.0004687625383560532, 0.03562631907901161, -14.001478135985778], [-1.0999049186802908e-05, -0.0016073549143203502, 1.0]]",16,0.65,model
2631.0,"[[0.0022340224338162668, -0.04947810770371696, 29.97157449948289], [0.0019802199715788556, 0.029850306984934797, -12.573030235591169], [-7.949028890229473e-05, -0.0015860639205214657, 1.0]]",10,2.61,model
2632.0,,0,,reject
2633.0,,0,,reject
2634.0,,0,,reject
2635.0,,0,,reject
2636.0,,0,,reject
2637.0,,0,,reject
2638.0,,0,,reject
2639.0,,0,,reject
2640.0,,0,,reject
2641.0,,0,,reject
2642.0,"[[0.002177569951470048, -0.04380335078057311, 28.049265786033196], [0.0007763317087473052, 0.03147098509795974, -11.800142914911847], [-0.00010587896303608906, -0.0014382661678608878, 1.0]]",13,0.66,model
2643.0,"[[0.003380241193995535, -0.04512567149315382, 26.120404205705277], [5.47339811124023e-05, 0.03277614874154489, -12.348235350390114], [-7.132674218712919e-05, -0.0014564938717333536, 1.0]]",15,0.93,model
2644.0,"[[0.006553984593243262, -0.05010426272645594, 23.416819647378645], [-0.0007666018813094033, 0.035151447144818875, -13.199519387816533], [2.243204896185531e-05, -0.0016311803093559457, 1.0]]",16,0.56,model
2645.0,"[[0.006973524681083023, -0.053172170087275344, 23.38598579040576], [-0.001589740429443305, 0.03694930955567695, -12.88877045680127], [5.890864985523773e-05, -0.0016956076918073983, 0.9999999999999999]]",13,1.26,model
2646.0,"[[0.006051094946797311, -0.04715033119485688, 21.312741740102457], [-0.0025482151328685867, 0.0437943460186899, -14.327273007144266], [6.767196245607748e-06, -0.001460197344554519, 1.0]]",11,2.82,model
2647.0,"[[0.005031127868646659, -0.04761567159702175, 19.897442055984047], [-0.0017134883083125558, 0.02632527576142017, -8.019306213699029], [2.3976835812748648e-05, -0.001697679242494186, 1.0]]",10,2.84,model
2648.0,,0,,reject
2649.0,,0,,reject
2650.0,,0,,reject
2651.0,,0,,reject
2652.0,"[[0.005515928911869332, -0.048995843761014624, 20.12911276366943], [-0.0015449308802256234, 0.027097060211131386, -8.335578452446764], [3.767995157504802e-05, -0.0017215550950125792, 1.0]]",10,2.01,model
2653.0,,0,,reject
2654.0,,0,,reject
2655.0,,0,,reject
2656.0,,0,,reject
2657.0,"[[0.004848357728282471, -0.046805613126448056, 20.103712812241042], [-0.001996839613354269, 0.028999259003679393, -8.418117765153811], [-6.158541040490784e-07, -0.0015942329282322206, 1.0]]",10,2.11,model
2658.0,,0,,reject
2659.0,,0,,reject
2660.0,,0,,reject
2661.0,,0,,reject
2662.0,,0,,reject
2663.0,,0,,reject
2664.0,,0,,reject
2665.0,,0,,reject
2666.0,,0,,reject
2667.0,,0,,reject
2668.0,,0,,reject
2669.0,,0,,reject
2670.0,,0,,reject
2671.0,,0,,reject
2672.0,,0,,reject
2673.0,,0,,reject
2674.0,,0,,reject
2675.0,,0,,reject
2676.0,,0,,reject
2677.0,,0,,reject
2678.0,,0,,reject
2679.0,,0,,reject
2680.0,,0,,reject
2681.0,,0,,reject
2682.0,,0,,reject
2683.0,,0,,reject
2684.0,,0,,reject
2685.0,,0,,reject
2686.0,,0,,reject
2687.0,,0,,reject
2688.0,,0,,reject
2689.0,,0,,reject
2690.0,"[[0.005520805722280175, -0.04792938377428698, 20.07697501818716], [-0.0022988191643906774, 0.029493271219422933, -8.135328617944204], [2.0351527441396875e-05, -0.0016279221000593269, 1.0]]",10,1.43,model
2691.0,"[[0.00597671840095294, -0.050399717791334106, 23.542190989861496], [-0.001016317328790022, 0.03393550414091125, -12.44786153911534], [2.5746363036397402e-05, -0.0016435879639044703, 1.0]]",14,0.56,model
2692.0,"[[0.001895633921634315, -0.0463610471403608, 27.133071956209893], [0.00054827612039836, 0.02982231844020662, -12.162554983584775], [-9.760573549523306e-05, -0.0015161498060567487, 1.0]]",14,0.72,model
2693.0,,0,,reject
2694.0,,0,,reject
2695.0,,0,,reject
2696.0,,0,,reject
2697.0,,0,,reject
2698.0,,0,,reject
2699.0,,0,,reject
2700.0,,0,,reject
2701.0,,0,,reject
2702.0,,0,,reject
2703.0,,0,,reject
2704.0,,0,,reject
2705.0,,0,,reject
2706.0,,0,,reject
2707.0,,0,,reject
2708.0,,0,,reject
2709.0,,0,,reject
2710.0,,0,,reject
2711.0,,0,,reject
2712.0,,0,,reject
2713.0,"[[0.003710051474580313, -0.04964938437617605, 29.98996299355531], [0.0012829689738511655, 0.031864317433512694, -12.294546343975037], [-5.519871133841016e-05, -0.0016035940770010053, 1.0]]",10,1.17,model
2714.0,"[[0.0023330572004723405, -0.0460320047049207, 29.31178307797473], [0.0016638549444458852, 0.03448918495125986, -13.29116141810443], [-9.30016787611621e-05, -0.0015297629473958862, 1.0]]",10,1.4,model
2715.0,"[[0.0019707386274927714, -0.045181253240280446, 27.717853717906294], [0.0007964869749052799, 0.031055261002585075, -12.542383539248622], [-0.00011010379321559442, -0.0014668542896731933, 1.0]]",13,0.37,model
2716.0,"[[0.0019438143913030283, -0.04516389324282306, 27.714954876845106], [0.000498167035477155, 0.030044458884003228, -11.978165501342966], [-0.00010501970639711022, -0.001462706251931139, 1.0]]",13,0.48,model
2717.0,"[[0.0026847383879127244, -0.04731267418778339, 27.86729794160934], [0.0006710938528008602, 0.030850620057610075, -12.383801340221526], [-8.069406451821804e-05, -0.0015323393369942985, 1.0]]",13,0.62,model
2718.0,"[[0.002714505593283879, -0.046189524650579045, 26.3966644791118], [0.00039075025308367244, 0.029966313731034002, -12.171779464654145], [-8.322164485334625e-05, -0.0015014911733848737, 1.0]]",16,0.62,model
2719.0,"[[0.0035127078602611135, -0.04747038209119434, 25.811650641782713], [0.00011874353635874859, 0.030596295894206173, -12.244028842280747], [-5.9272059549473904e-05, -0.0015383986243215249, 1.0]]",16,0.37,model
