frame,t_s,track_id,x1,y1,x2,y2,foot_x,foot_y,team,rx,ry
156011,2600.183345022106,1,1341.0912,364.27814,1375.326,437.71423,1358.2086,437.71423,HCAP,27.193817138671875,3.772413730621338
156017,2600.2833450225557,1,1346.5737,355.68793,1380.7134,433.89838,1363.6436,433.89838,HCAP,27.346479415893555,3.302578926086426
156023,2600.3833450230054,1,1349.5137,355.9746,1382.9777,433.00305,1366.2456,433.00305,HCAP,27.400981903076172,3.188262939453125
156029,2600.483345023455,1,1353.9531,346.12387,1387.0402,427.76935,1370.4966,427.76935,HCAP,27.553340911865234,2.59220552444458
156035,2600.5833450239043,2,1756.6633,360.50647,1807.7996,432.90866,1782.2314,432.90866,HCAP,33.11424255371094,1.1795052289962769
156035,2600.5833450239043,1,1359.5703,348.7869,1394.0483,426.50784,1376.8093,426.50784,HCAP,27.64923095703125,2.3189690113067627
156041,2600.683345024354,1,1362.4136,353.06955,1398.1423,422.7615,1380.278,422.7615,HCAP,27.757902145385742,1.9144046306610107
156041,2600.683345024354,2,1745.8751,359.37698,1800.1106,429.91663,1772.9929,429.91663,HCAP,32.97367858886719,0.9307558536529541
156047,2600.7833450248036,1,1368.3617,355.37485,1401.9304,420.014,1385.146,420.014,HCAP,27.86726951599121,1.6162017583847046
156047,2600.7833450248036,2,1738.5062,354.89984,1786.0602,428.97192,1762.2832,428.97192,HCAP,32.83049774169922,0.8856920599937439
156053,2600.883345025253,1,1376.4042,358.24722,1409.762,417.41968,1393.083,417.41968,HCAP,28.013368606567383,1.327258825302124
156053,2600.883345025253,2,1729.6542,354.569,1770.1146,429.4822,1749.8844,429.4822,HCAP,32.674686431884766,0.9858503341674805
156053,2600.883345025253,3,1593.1725,329.97607,1619.5419,372.1614,1606.3572,372.1614,LHC,30.89836883544922,-2.9985551834106445
156059,2600.9833450257024,2,1722.0974,352.70325,1754.1013,429.0672,1738.0994,429.0672,HCAP,32.52086639404297,0.9955265522003174
156059,2600.9833450257024,1,1385.262,358.24356,1413.6003,415.719,1399.4312,415.719,HCAP,28.122608184814453,1.136864185333252
156059,2600.9833450257024,3,1592.9468,330.7832,1619.6313,372.57855,1606.2891,372.57855,LHC,30.897005081176758,-2.971526861190796
156065,2601.083345026152,4,1103.7412,526.4954,1194.2677,663.33307,1149.0044,663.33307,LHC,109.50883483886719,-297.6811828613281
156065,2601.083345026152,5,1221.531,351.2491,1248.0657,418.20328,1234.7983,418.20328,HCAP,25.7962646484375,2.0948569774627686
156065,2601.083345026152,1,1395.9343,351.76276,1423.5544,412.6953,1409.7444,412.6953,HCAP,28.299644470214844,0.8098419308662415
156065,2601.083345026152,2,1711.7871,352.40085,1746.2527,427.96545,1729.0199,427.96545,HCAP,32.39881896972656,0.9285339117050171
156065,2601.083345026152,3,1593.4563,330.34656,1619.4353,372.69244,1606.4458,372.69244,LHC,30.898515701293945,-2.9646503925323486
156071,2601.1833450266017,4,1083.6172,517.25525,1144.9216,642.2169,1114.2694,642.2169,LHC,-4632.75390625,15403.8486328125
156071,2601.1833450266017,2,1701.8982,355.02383,1736.7947,431.43796,1719.3464,431.43796,HCAP,32.288421630859375,1.3043231964111328
156071,2601.1833450266017,5,1217.8071,355.39133,1246.3862,420.75467,1232.0967,420.75467,HCAP,25.694719314575195,2.3731448650360107
156071,2601.1833450266017,1,1404.8904,357.10464,1430.1595,413.12585,1417.5249,413.12585,HCAP,28.397136688232422,0.8181079626083374
