t_s,period,team,number,name,rx,ry
2603.78,2,HCAP,,,26.11,1.77
2603.88,2,LHC,,,26.31,8.27
2603.88,2,HCAP,,,35.53,25.3
2603.88,2,LHC,44.0,Torchio Luca,28.38,4.03
2603.88,2,LHC,25.0,Puur Elliot,21.07,15.11
2603.88,2,HCAP,,,32.12,0.25
2603.88,2,HCAP,,,26.01,1.72
2603.98,2,LHC,,,26.13,8.6
2603.98,2,LHC,25.0,Puur Elliot,21.39,14.77
2603.98,2,LHC,44.0,Torchio Luca,28.19,3.97
2603.98,2,HCAP,,,35.75,23.72
2603.98,2,HCAP,,,25.88,1.91
2604.08,2,LHC,25.0,Puur Elliot,21.73,14.32
2604.08,2,HCAP,,,-0.36,31.85
2604.08,2,LHC,,,25.91,8.91
2604.08,2,HCAP,,,36.06,22.15
2604.08,2,LHC,44.0,Torchio Luca,27.95,4.09
2604.18,2,LHC,25.0,Puur Elliot,22.03,13.89
2604.18,2,HCAP,,,2.34,17.32
2604.18,2,LHC,,,25.76,9.17
2604.18,2,LHC,,,22.4,8.7
2604.18,2,HCAP,,,36.41,21.7
2604.18,2,LHC,44.0,Torchio Luca,27.78,4.21
2604.28,2,LHC,,,25.56,9.43
2604.28,2,HCAP,,,2.22,17.35
2604.28,2,LHC,25.0,Puur Elliot,22.26,13.71
2604.28,2,LHC,,,22.19,9.23
2604.28,2,LHC,44.0,Torchio Luca,27.62,4.19
2604.28,2,HCAP,,,36.66,21.31
2604.28,2,HCAP,,,1.23,31.01
2604.38,2,LHC,,,25.39,9.77
2604.38,2,LHC,25.0,Puur Elliot,22.64,12.95
2604.38,2,HCAP,,,2.75,16.56
2604.38,2,HCAP,,,3.18,28.7
2604.38,2,LHC,,,22.04,9.6
2604.38,2,LHC,44.0,Torchio Luca,27.44,4.17
2604.38,2,HCAP,,,36.77,19.45
2604.38,2,HCAP,,,32.43,1.24
2604.48,2,HCAP,,,2.59,16.79
2604.48,2,LHC,25.0,Puur Elliot,22.82,12.88
2604.48,2,LHC,,,25.27,9.84
2604.48,2,LHC,,,21.9,9.88
2604.48,2,HCAP,,,3.59,29.07
2604.48,2,LHC,44.0,Torchio Luca,27.19,4.46
2604.48,2,HCAP,,,37.01,19.13
2604.58,2,HCAP,,,7.2,24.29
2604.58,2,HCAP,,,5.35,14.23
2604.58,2,LHC,,,25.19,10.19
2604.58,2,LHC,,,22.05,9.83
2604.58,2,LHC,25.0,Puur Elliot,23.39,11.62
2604.58,2,LHC,44.0,Torchio Luca,27.08,4.38
2604.58,2,HCAP,,,36.82,18.25
2604.68,2,HCAP,,,8.57,22.62
2604.68,2,LHC,25.0,Puur Elliot,23.68,11.26
2604.68,2,HCAP,,,5.33,14.39
2604.68,2,LHC,,,21.95,9.93
2604.68,2,LHC,,,25.11,10.18
2604.68,2,LHC,44.0,Torchio Luca,26.95,4.22
2604.68,2,HCAP,,,28.48,3.11
2604.68,2,HCAP,,,37.13,17.63
2604.78,2,LHC,25.0,Puur Elliot,23.9,10.9
2604.78,2,LHC,,,24.88,10.73
2604.78,2,HCAP,,,5.73,13.85
2604.78,2,LHC,,,21.78,10.32
2604.78,2,HCAP,,,7.81,12.16
2604.78,2,HCAP,,,31.29,0.51
2604.78,2,HCAP,,,37.22,16.56
2604.78,2,LHC,44.0,Torchio Luca,26.57,5.26
2604.78,2,HCAP,,,32.56,0.84
2604.78,2,HCAP,,,9.95,20.84
2604.88,2,LHC,,,21.57,10.72
2604.88,2,LHC,25.0,Puur Elliot,24.23,10.19
2604.88,2,HCAP,,,6.12,13.36
2604.88,2,LHC,,,24.75,10.87
2604.88,2,HCAP,,,37.34,15.95
2604.88,2,HCAP,,,25.04,3.08
2604.88,2,LHC,44.0,Torchio Luca,26.28,6.13
2604.88,2,HCAP,,,7.83,12.12
2604.88,2,HCAP,,,10.64,20.29
2604.88,2,HCAP,,,31.23,0.56
2604.88,2,HCAP,,,32.42,0.79
2604.98,2,LHC,,,21.42,10.9
2604.98,2,HCAP,,,11.28,19.76
2604.98,2,LHC,,,24.53,11.33
2604.98,2,HCAP,,,6.16,13.34
2604.98,2,HCAP,,,24.87,3.36
2604.98,2,LHC,25.0,Puur Elliot,24.37,9.83
2604.98,2,LHC,53.0,Schwarz Adam,32.26,0.85
2604.98,2,HCAP,,,7.86,12.08
2604.98,2,HCAP,,,31.13,0.52
2604.98,2,HCAP,,,37.34,14.74
2604.98,2,LHC,44.0,Torchio Luca,26.27,5.06
2605.08,2,LHC,,,21.2,11.22
2605.08,2,HCAP,,,6.2,13.32
2605.08,2,HCAP,,,24.73,3.45
2605.08,2,LHC,,,24.26,11.65
2605.08,2,HCAP,,,11.85,19.37
2605.08,2,LHC,53.0,Schwarz Adam,32.16,1.0
2605.08,2,HCAP,,,7.78,12.17
2605.08,2,HCAP,,,31.08,0.54
2605.08,2,LHC,44.0,Torchio Luca,26.05,5.07
2605.08,2,HCAP,,,37.42,14.5
2605.18,2,LHC,,,20.93,11.52
2605.18,2,HCAP,,,6.29,13.19
2605.18,2,HCAP,,,24.58,3.47
2605.18,2,HCAP,,,27.1,5.2
2605.18,2,LHC,,,24.13,12.27
2605.18,2,LHC,53.0,Schwarz Adam,32.05,1.04
2605.18,2,HCAP,,,7.77,12.21
2605.18,2,HCAP,,,32.83,2.7
2605.18,2,HCAP,,,30.97,0.83
2605.18,2,HCAP,,,12.53,18.62
2605.28,2,LHC,,,23.91,12.19
2605.28,2,LHC,,,20.56,12.13
2605.28,2,LHC,25.0,Puur Elliot,25.15,8.98
2605.28,2,HCAP,,,6.68,12.64
2605.28,2,HCAP,,,24.38,3.8
2605.28,2,HCAP,,,12.93,18.35
2605.28,2,LHC,53.0,Schwarz Adam,31.92,1.13
2605.28,2,HCAP,,,32.72,2.79
2605.28,2,HCAP,,,7.81,12.18
2605.28,2,HCAP,,,30.88,0.97
2605.38,2,LHC,,,23.64,12.72
2605.38,2,LHC,25.0,Puur Elliot,25.3,8.99
2605.38,2,LHC,,,20.33,12.29
2605.38,2,HCAP,,,13.6,17.72
2605.38,2,HCAP,,,6.64,12.69
2605.38,2,HCAP,,,32.59,2.85
2605.38,2,HCAP,,,24.23,3.93
2605.38,2,HCAP,,,30.8,1.11
2605.38,2,LHC,53.0,Schwarz Adam,31.82,1.11
2605.38,2,HCAP,,,7.74,12.25
2605.48,2,LHC,,,19.87,13.2
2605.48,2,LHC,,,23.42,12.95
2605.48,2,LHC,25.0,Puur Elliot,25.59,8.69
2605.48,2,HCAP,,,37.66,12.27
2605.48,2,HCAP,,,6.7,12.68
2605.48,2,HCAP,,,24.06,4.13
2605.48,2,HCAP,,,7.76,12.22
2605.48,2,HCAP,,,32.42,3.02
2605.48,2,LHC,53.0,Schwarz Adam,31.69,1.16
2605.48,2,LHC,44.0,Torchio Luca,25.89,4.04
2605.48,2,HCAP,,,33.54,0.84
2605.58,2,LHC,,,23.04,13.24
2605.58,2,LHC,,,19.34,13.7
2605.58,2,HCAP,,,38.04,11.56
2605.58,2,HCAP,,,14.24,17.16
2605.58,2,LHC,25.0,Puur Elliot,25.76,8.68
2605.58,2,HCAP,,,23.79,4.22
2605.58,2,HCAP,,,5.53,13.17
2605.58,2,LHC,53.0,Schwarz Adam,31.69,1.05
2605.58,2,HCAP,,,6.57,12.83
2605.58,2,LHC,44.0,Torchio Luca,25.83,3.84
2605.58,2,HCAP,,,32.46,3.07
2605.68,2,LHC,,,18.96,14.39
2605.68,2,LHC,,,22.63,14.17
2605.68,2,LHC,25.0,Puur Elliot,25.98,8.82
2605.68,2,HCAP,,,5.5,13.26
2605.68,2,LHC,44.0,Torchio Luca,25.79,4.03
2605.68,2,HCAP,,,38.08,10.97
2605.68,2,HCAP,,,14.52,17.16
2605.68,2,HCAP,,,32.31,3.49
2605.68,2,HCAP,,,6.54,12.89
2605.68,2,HCAP,,,23.62,4.37
2605.68,2,LHC,53.0,Schwarz Adam,31.56,1.45
2605.78,2,LHC,,,18.69,14.68
2605.78,2,HCAP,,,23.4,4.68
2605.78,2,LHC,,,22.36,14.37
2605.78,2,LHC,25.0,Puur Elliot,26.2,8.87
2605.78,2,HCAP,,,14.97,17.12
2605.78,2,HCAP,,,38.11,10.55
2605.78,2,LHC,44.0,Torchio Luca,25.74,4.03
2605.78,2,HCAP,,,5.49,13.28
2605.78,2,HCAP,,,32.15,3.03
2605.78,2,HCAP,,,6.57,12.88
2605.78,2,HCAP,,,30.4,1.14
2605.88,2,LHC,25.0,Puur Elliot,26.4,8.96
2605.88,2,LHC,,,18.23,15.78
2605.88,2,LHC,,,22.14,14.42
2605.88,2,HCAP,,,5.47,13.4
2605.88,2,LHC,44.0,Torchio Luca,25.64,4.26
2605.88,2,HCAP,,,6.59,12.89
2605.88,2,HCAP,,,38.08,9.98
2605.88,2,HCAP,,,30.28,1.08
2605.88,2,HCAP,,,23.28,4.63
2605.88,2,HCAP,,,31.95,2.9
2605.88,2,HCAP,,,15.58,16.32
2605.88,2,LHC,53.0,Schwarz Adam,31.25,2.1
2605.98,2,LHC,,,17.99,16.0
2605.98,2,HCAP,,,16.23,15.72
2605.98,2,LHC,,,21.74,15.24
2605.98,2,LHC,25.0,Puur Elliot,26.57,9.21
2605.98,2,LHC,44.0,Torchio Luca,25.59,4.37
2605.98,2,HCAP,,,5.54,13.35
2605.98,2,HCAP,,,23.03,5.13
2605.98,2,HCAP,,,38.07,9.7
2605.98,2,HCAP,,,6.55,12.93
2605.98,2,HCAP,,,30.14,1.37
2605.98,2,HCAP,,,31.71,2.84
2606.08,2,LHC,25.0,Puur Elliot,26.66,9.74
2606.08,2,LHC,,,17.5,16.98
2606.08,2,LHC,44.0,Torchio Luca,25.5,4.52
2606.08,2,LHC,,,21.55,15.08
2606.08,2,HCAP,,,16.62,15.57
2606.08,2,HCAP,,,5.68,13.13
2606.08,2,HCAP,,,6.73,12.77
2606.08,2,HCAP,,,29.99,1.42
2606.08,2,HCAP,,,38.08,9.34
2606.08,2,HCAP,,,22.85,5.24
2606.08,2,LHC,53.0,Schwarz Adam,30.92,1.35
2606.08,2,HCAP,,,31.55,2.54
2606.18,2,LHC,25.0,Puur Elliot,26.77,9.99
2606.18,2,LHC,,,16.94,18.06
2606.18,2,LHC,44.0,Torchio Luca,25.38,4.75
2606.18,2,HCAP,,,17.06,15.36
2606.18,2,LHC,,,21.38,15.05
2606.18,2,HCAP,,,22.62,5.56
2606.18,2,HCAP,,,5.61,13.3
2606.18,2,HCAP,,,38.1,9.08
2606.18,2,HCAP,,,6.65,12.85
