t_s,period,team,number,name,rx,ry
1891.28,2,LHC,,,33.28,28.07
1891.38,2,LHC,,,33.59,30.29
1891.48,2,LHC,,,33.97,28.18
1891.58,2,LHC,,,34.51,26.83
1891.68,2,LHC,,,34.22,27.6
1891.78,2,LHC,,,38.26,30.89
1891.88,2,LHC,,,38.1,31.43
1891.68,2,HCAP,,,31.91,31.98
1882.18,2,HCAP,,,31.36,19.25
1882.28,2,HCAP,,,31.31,18.67
1882.48,2,HCAP,,,31.24,18.9
1882.58,2,HCAP,,,31.14,19.12
1882.68,2,HCAP,,,31.13,16.03
1882.78,2,HCAP,,,31.14,15.34
1882.88,2,HCAP,,,31.15,15.45
1882.98,2,HCAP,,,31.16,16.13
1883.08,2,HCAP,,,31.14,15.31
1883.18,2,HCAP,,,31.07,15.46
1883.28,2,HCAP,,,31.01,16.53
1883.48,2,HCAP,,,31.02,15.16
1883.58,2,HCAP,,,31.03,11.71
1883.68,2,HCAP,,,30.97,11.51
1883.78,2,HCAP,,,30.97,11.86
1883.88,2,HCAP,,,30.98,11.78
1883.98,2,HCAP,,,31.0,11.89
1884.08,2,HCAP,,,31.02,11.86
1884.18,2,HCAP,,,30.95,11.99
1884.28,2,HCAP,,,31.03,12.5
1884.38,2,HCAP,,,31.0,12.51
1884.48,2,HCAP,,,31.02,12.34
1884.58,2,HCAP,,,31.1,12.36
1884.68,2,HCAP,,,31.09,12.45
1884.78,2,HCAP,,,31.09,12.53
1884.88,2,HCAP,,,31.13,12.88
1884.98,2,HCAP,,,31.19,12.66
1885.08,2,HCAP,,,31.17,12.8
1885.18,2,HCAP,,,31.14,12.6
1885.28,2,HCAP,,,31.32,12.83
1885.38,2,HCAP,,,31.31,12.61
1885.48,2,HCAP,,,31.31,12.76
1885.58,2,HCAP,,,31.32,12.77
1885.68,2,HCAP,,,31.38,13.19
1885.78,2,HCAP,,,31.2,12.21
1885.88,2,HCAP,,,31.2,12.54
1885.98,2,HCAP,,,31.23,12.77
1886.08,2,HCAP,,,31.25,12.84
1886.18,2,HCAP,,,31.21,12.75
1886.28,2,HCAP,,,31.11,12.08
1886.38,2,HCAP,,,31.12,12.18
1886.48,2,HCAP,,,31.12,12.55
1886.58,2,HCAP,,,31.13,12.46
1886.68,2,HCAP,,,31.09,12.74
1886.78,2,HCAP,,,30.95,11.81
1886.88,2,HCAP,,,31.02,11.68
1886.98,2,HCAP,,,31.02,11.62
1887.08,2,HCAP,,,31.0,11.53
1887.18,2,HCAP,,,30.93,11.4
1887.28,2,HCAP,,,30.76,11.63
1887.38,2,HCAP,,,30.87,11.48
1887.48,2,HCAP,,,30.86,11.55
1887.58,2,HCAP,,,30.84,11.5
1887.68,2,HCAP,,,30.88,11.46
1887.78,2,HCAP,,,30.89,11.1
1887.88,2,HCAP,,,30.91,11.14
1887.98,2,HCAP,,,30.96,11.09
1888.08,2,HCAP,,,30.94,10.94
1888.18,2,HCAP,,,30.92,10.59
1889.68,2,HCAP,,,30.93,11.13
1889.78,2,HCAP,,,30.98,9.53
1889.88,2,HCAP,,,31.07,9.72
1889.98,2,HCAP,,,31.01,9.62
1890.08,2,HCAP,,,31.16,18.31
1890.18,2,HCAP,,,31.04,17.85
1890.28,2,HCAP,,,29.63,15.05
1890.38,2,HCAP,,,29.5,16.21
1890.48,2,HCAP,,,29.74,18.0
1890.58,2,HCAP,,,29.85,19.32
1890.68,2,HCAP,,,29.89,19.06
1890.88,2,HCAP,,,30.13,19.85
1890.98,2,HCAP,,,30.14,19.69
1891.08,2,HCAP,,,30.08,20.2
1891.18,2,HCAP,,,30.01,20.34
1891.28,2,HCAP,,,30.04,19.49
1891.38,2,HCAP,,,30.1,19.69
1891.48,2,HCAP,,,30.13,19.93
1891.58,2,HCAP,,,30.1,19.75
1891.68,2,HCAP,,,29.33,20.28
1891.78,2,HCAP,,,31.57,20.22
1891.88,2,HCAP,,,31.76,20.94
1891.98,2,HCAP,,,31.92,26.34
1892.08,2,HCAP,,,31.57,17.42
1892.18,2,HCAP,,,30.94,17.82
1882.18,2,HCAP,,,33.4,24.8
1882.28,2,HCAP,,,33.32,24.42
1882.38,2,HCAP,,,33.28,24.09
1882.48,2,HCAP,,,33.27,23.53
1882.58,2,HCAP,,,33.22,23.91
1882.68,2,HCAP,,,33.21,23.25
1882.78,2,HCAP,,,33.08,22.85
1882.88,2,HCAP,,,33.04,23.2
1882.98,2,HCAP,,,32.96,22.98
1883.08,2,HCAP,,,32.98,23.21
1883.18,2,HCAP,,,32.89,22.79
1883.28,2,HCAP,,,32.87,23.68
1883.38,2,HCAP,,,32.9,23.8
1883.48,2,HCAP,,,32.79,23.85
1883.58,2,HCAP,,,32.85,23.72
1883.68,2,HCAP,,,32.99,23.53
1883.78,2,HCAP,,,32.96,23.78
1883.88,2,HCAP,,,32.99,24.18
1883.98,2,HCAP,,,32.98,24.34
1884.08,2,HCAP,,,32.98,24.42
1884.18,2,HCAP,,,33.03,24.33
1884.28,2,HCAP,,,33.23,25.33
1884.38,2,HCAP,,,33.08,25.33
1884.48,2,HCAP,,,33.23,25.15
1884.58,2,HCAP,,,33.26,25.24
1884.68,2,HCAP,,,33.29,25.17
1884.78,2,HCAP,,,33.31,25.05
1884.88,2,HCAP,,,33.31,25.29
1884.98,2,HCAP,,,33.29,25.25
1885.08,2,HCAP,,,33.33,25.29
1885.18,2,HCAP,,,33.31,25.23
1885.28,2,HCAP,,,34.0,26.18
1885.38,2,HCAP,,,33.91,26.14
1885.48,2,HCAP,,,33.7,25.94
1885.58,2,HCAP,,,33.69,25.9
1885.68,2,HCAP,,,33.67,25.84
1885.78,2,HCAP,,,33.5,25.17
1885.88,2,HCAP,,,33.51,25.13
1885.98,2,HCAP,,,33.48,25.2
1886.08,2,HCAP,,,33.51,25.22
1886.18,2,HCAP,,,33.84,24.9
1886.28,2,HCAP,,,33.17,24.02
1886.38,2,HCAP,,,33.18,23.88
1886.48,2,HCAP,,,33.16,24.02
1886.58,2,HCAP,,,33.17,24.16
1886.68,2,HCAP,,,33.15,24.15
1886.78,2,HCAP,,,32.85,22.98
1886.88,2,HCAP,,,32.85,22.89
1886.98,2,HCAP,,,32.81,23.08
